Tweet,Label,cleaning,normalisasi,tokenisasi,stopword_removal
aduh si tolol wkakkwkak,Joy,aduh si tolol wkakkwkak,aduh sih tolol wkakkwkak,"['aduh', 'sih', 'tolol', 'wkakkwkak']",aduh tolol wkakkwkak
huwa yenanya mami kok gemes sih marah aja segemes ini aru rela dimarahin yena trs tiap hari pliss mau karungin,Joy,huwa yenanya mami kok gemes sih marah aja segemes ini aru rela dimarahin yena trs tiap hari pliss mau karungin,huwa yenanya mami kok gemas sih marah saja segemes ini aru rela dimarahi yena terus tiap hari pliss mau karungin,"['huwa', 'yenanya', 'mami', 'kok', 'gemas', 'sih', 'marah', 'saja', 'segemes', 'ini', 'aru', 'rela', 'dimarahi', 'yena', 'terus', 'tiap', 'hari', 'pliss', 'mau', 'karungin']",huwa yenanya mami gemas marah segemes aru rela dimarahi yena pliss karungin
"guys klian hrus nntn mpua army sumpah,gemes bngttkontennya tuh nyobain eksperimen2 hng ad di tt atau video eksperimen buat sesuatu gtu.klo wksperimennya bhong atau ngk berhasil psti dia lgsg meong2 kek marah gtu,trs kabur",Joy,guys klian hrus nntn mpua army sumpahgemes bngttkontennya tuh nyobain eksperimen hng ad di tt atau video eksperimen buat sesuatu gtuklo wksperimennya bhong atau ngk berhasil psti dia lgsg meong kek marah gtutrs kabur,guys kalian harus menonton mpua army sumpahgemes bngttkontennya tuh mencoba eksperimen hng ada di tt atau video eksperimen buat sesuatu gtuklo wksperimennya bhong atau tidak berhasil pasti dia langsung meong kayak marah gtutrs kabur,"['guys', 'kalian', 'harus', 'menonton', 'mpua', 'army', 'sumpahgemes', 'bngttkontennya', 'tuh', 'mencoba', 'eksperimen', 'hng', 'ada', 'di', 'tt', 'atau', 'video', 'eksperimen', 'buat', 'sesuatu', 'gtuklo', 'wksperimennya', 'bhong', 'atau', 'tidak', 'berhasil', 'pasti', 'dia', 'langsung', 'meong', 'kayak', 'marah', 'gtutrs', 'kabur']",guys menonton mpua army sumpahgemes bngttkontennya mencoba eksperimen hng tt video eksperimen gtuklo wksperimennya bhong berhasil langsung meong kayak marah gtutrs kabur
"noblesse di webtoon eng udah daily pass, dulu gue kebut bacanya di eng sebelum dia daily pass wkwk tolol bgt",Joy,noblesse di webtoon eng udah daily pass dulu gue kebut bacanya di eng sebelum dia daily pass wkwk tolol bgt,noblesse di webtoon eng sudah daily pas dulu gue kebut bacanya di eng sebelum dia daily pas wkwk tolol banget,"['noblesse', 'di', 'webtoon', 'eng', 'sudah', 'daily', 'pas', 'dulu', 'gue', 'kebut', 'bacanya', 'di', 'eng', 'sebelum', 'dia', 'daily', 'pas', 'wkwk', 'tolol', 'banget']",noblesse webtoon eng daily gue kebut bacanya eng daily tolol banget
"cocok temen sekelas gue waktu sma loyal dan kompak buat lekas bahkan waktu dulu sahabat gue yg cewe nangis karna dibentak adek kelas, anak cowok langsung pada emosi dan nekat mau nemuin itu ade kelas wkwk",Joy,cocok temen sekelas gue waktu sma loyal dan kompak buat lekas bahkan waktu dulu sahabat gue yg cewe nangis karna dibentak adek kelas anak cowok langsung pada emosi dan nekat mau nemuin itu ade kelas wkwk,cocok teman sekelas gue waktu sama loyal dan kompak buat lekas bahkan waktu dulu sahabat gue yang cewek menangis karena dibentak adek kelas anak cowok langsung pada emosi dan nekat mau menemukan itu adek kelas wkwk,"['cocok', 'teman', 'sekelas', 'gue', 'waktu', 'sama', 'loyal', 'dan', 'kompak', 'buat', 'lekas', 'bahkan', 'waktu', 'dulu', 'sahabat', 'gue', 'yang', 'cewek', 'menangis', 'karena', 'dibentak', 'adek', 'kelas', 'anak', 'cowok', 'langsung', 'pada', 'emosi', 'dan', 'nekat', 'mau', 'menemukan', 'itu', 'adek', 'kelas', 'wkwk']",cocok teman sekelas gue loyal kompak lekas sahabat gue cewek menangis dibentak adek kelas anak cowok langsung emosi nekat menemukan adek kelas
berasa bego kalau udh tinggal dikit lagi yg gak bisa jawab termasuk kitanya wkwk,Joy,berasa bego kalau udh tinggal dikit lagi yg gak bisa jawab termasuk kitanya wkwk,berasa bego kalau sudah tinggal dikit lagi yang tidak bisa jawab termasuk kitanya wkwk,"['berasa', 'bego', 'kalau', 'sudah', 'tinggal', 'dikit', 'lagi', 'yang', 'tidak', 'bisa', 'jawab', 'termasuk', 'kitanya', 'wkwk']",berasa bego tinggal dikit kitanya
bodoh itu mah xixi,Joy,bodoh itu mah xixi,bodoh itu mah xixi,"['bodoh', 'itu', 'mah', 'xixi']",bodoh mah xixi
bangsat haha lagian siapa yg pipis kek gt,Joy,bangsat haha lagian siapa yg pipis kek gt,bangsat haha lagian siapa yang pipis kayak begitu,"['bangsat', 'haha', 'lagian', 'siapa', 'yang', 'pipis', 'kayak', 'begitu']",bangsat haha pipis kayak
"santai bos , gak ush emosi , sabar ok. biarkan mereka menilai seperti yak apa , kita cukup memilih mana yg lbh cocok wkwk",Joy,santai bos gak ush emosi sabar ok biarkan mereka menilai seperti yak apa kita cukup memilih mana yg lbh cocok wkwk,santai bos tidak usah emosi sabar ok biarkan mereka menilai seperti ya apa kita cukup memilih mana yang lebih cocok wkwk,"['santai', 'bos', 'tidak', 'usah', 'emosi', 'sabar', 'ok', 'biarkan', 'mereka', 'menilai', 'seperti', 'ya', 'apa', 'kita', 'cukup', 'memilih', 'mana', 'yang', 'lebih', 'cocok', 'wkwk']",santai bos emosi sabar ok biarkan menilai memilih cocok
awokwok mw nge babu dulu sebelum kena marah emak,Joy,awokwok mw nge babu dulu sebelum kena marah emak,awokwok mau nge babu dulu sebelum kena marah emak,"['awokwok', 'mau', 'nge', 'babu', 'dulu', 'sebelum', 'kena', 'marah', 'emak']",awokwok nge babu kena marah emak
10/10 seru bnget. bkin emosi,Joy,seru bnget bkin emosi,seru banget bikin emosi,"['seru', 'banget', 'bikin', 'emosi']",seru banget bikin emosi
wkwkwk lu sih tolol,Joy,wkwkwk lu sih tolol,wkwkwk kamu sih tolol,"['wkwkwk', 'kamu', 'sih', 'tolol']",wkwkwk tolol
bales dendam aowkwowkw,Joy,bales dendam aowkwowkw,balas dendam aowkwowkw,"['balas', 'dendam', 'aowkwowkw']",balas dendam aowkwowkw
"kalo dijawabkan dengan member nct. diriku di real life seperti jaemin,di sosmed seperti chenle and haechan. kalo emosi seperti renjun. kelakuan macam jisung. kalau baku hantam ya kek jeno lahh. mark terlalu sempurna jika dijabarkan dengan diri ku wkwkek",Joy,kalo dijawabkan dengan member nct diriku di real life seperti jaemindi sosmed seperti chenle and haechan kalo emosi seperti renjun kelakuan macam jisung kalau baku hantam ya kek jeno lahh mark terlalu sempurna jika dijabarkan dengan diri ku wkwkek,kalau dijawabkan dengan member nct diriku di real life seperti jaemindi sosmed seperti chenle and haechan kalau emosi seperti renjun kelakuan macam jisung kalau baku hantam ya kayak jeno lah mark terlalu sempurna jika dijabarkan dengan diri ku wkwkek,"['kalau', 'dijawabkan', 'dengan', 'member', 'nct', 'diriku', 'di', 'real', 'life', 'seperti', 'jaemindi', 'sosmed', 'seperti', 'chenle', 'and', 'haechan', 'kalau', 'emosi', 'seperti', 'renjun', 'kelakuan', 'macam', 'jisung', 'kalau', 'baku', 'hantam', 'ya', 'kayak', 'jeno', 'lah', 'mark', 'terlalu', 'sempurna', 'jika', 'dijabarkan', 'dengan', 'diri', 'ku', 'wkwkek']",dijawabkan member nct diriku real life jaemindi sosmed chenle and haechan emosi renjun kelakuan jisung baku hantam kayak jeno mark sempurna dijabarkan wkwkek
pura-pura bego saat dibohongi itu menyenangkan,Joy,purapura bego saat dibohongi itu menyenangkan,purapura bego saat dibohongi itu menyenangkan,"['purapura', 'bego', 'saat', 'dibohongi', 'itu', 'menyenangkan']",purapura bego dibohongi menyenangkan
"ini ko orang2 komennya dia pada softie yak galak woi dia galak amat apalagi kalo aku belom tidur beuh kena marah wkwk dia baek, selalu jadi penyemangat trus kalo aku ngerasa insecure. moga kita bisa ketemu ye, pengen fangirling bareng ann",Joy,ini ko orang komennya dia pada softie yak galak woi dia galak amat apalagi kalo aku belom tidur beuh kena marah wkwk dia baek selalu jadi penyemangat trus kalo aku ngerasa insecure moga kita bisa ketemu ye pengen fangirling bareng ann,ini kok orang komennya dia pada softie ya galak woi dia galak amat apalagi kalau aku belum tidur beuh kena marah wkwk dia baik selalu jadi penyemangat terus kalau aku merasa insecure moga kita bisa ketemu ye pengin fangirling bareng ann,"['ini', 'kok', 'orang', 'komennya', 'dia', 'pada', 'softie', 'ya', 'galak', 'woi', 'dia', 'galak', 'amat', 'apalagi', 'kalau', 'aku', 'belum', 'tidur', 'beuh', 'kena', 'marah', 'wkwk', 'dia', 'baik', 'selalu', 'jadi', 'penyemangat', 'terus', 'kalau', 'aku', 'merasa', 'insecure', 'moga', 'kita', 'bisa', 'ketemu', 'ye', 'pengin', 'fangirling', 'bareng', 'ann']",orang komennya softie galak woi galak tidur beuh kena marah penyemangat insecure moga ketemu ye pengin fangirling bareng ann
seneng deh solonya mark bukan lagu marah marah mentok karena w gasuka lagu marah marah wkwk,Joy,seneng deh solonya mark bukan lagu marah marah mentok karena w gasuka lagu marah marah wkwk,senang deh solonya mark bukan lagu marah marah mentok karena gue gasuka lagu marah marah wkwk,"['senang', 'deh', 'solonya', 'mark', 'bukan', 'lagu', 'marah', 'marah', 'mentok', 'karena', 'gue', 'gasuka', 'lagu', 'marah', 'marah', 'wkwk']",senang solonya mark lagu marah marah mentok gue gasuka lagu marah marah
pgn ketawa gue klo lu emosi,Joy,pgn ketawa gue klo lu emosi,pengin ketawa gue kalau kamu emosi,"['pengin', 'ketawa', 'gue', 'kalau', 'kamu', 'emosi']",pengin ketawa gue emosi
"alhamdulilah ya allah jimin sembuh,semoga ini yang terakhir juga,asli aku benci dapet notif ""hello this is bighit music""",Joy,alhamdulilah ya allah jimin sembuhsemoga ini yang terakhir jugaasli aku benci dapet notif hello this is bighit music,alhamdulilah ya allah jimin sembuhsemoga ini yang terakhir jugaasli aku benci dapat notif hello this is bighit music,"['alhamdulilah', 'ya', 'allah', 'jimin', 'sembuhsemoga', 'ini', 'yang', 'terakhir', 'jugaasli', 'aku', 'benci', 'dapat', 'notif', 'hello', 'this', 'is', 'bighit', 'music']",alhamdulilah allah jimin sembuhsemoga jugaasli benci notif hello this is bighit music
"terpujilah blues! tiap birama ketiga contra bass yang memetik kunci kres: dendam sadis disibak, lalu dilepaskan.",Joy,terpujilah blues tiap birama ketiga contra bass yang memetik kunci kres dendam sadis disibak lalu dilepaskan,terpujilah blues tiap birama ketiga contra bass yang memetik kunci kres dendam sadis disibak lalu dilepaskan,"['terpujilah', 'blues', 'tiap', 'birama', 'ketiga', 'contra', 'bass', 'yang', 'memetik', 'kunci', 'kres', 'dendam', 'sadis', 'disibak', 'lalu', 'dilepaskan']",terpujilah blues birama ketiga contra bass memetik kunci kres dendam sadis disibak dilepaskan
wkwkkw bego haha,Joy,wkwkkw bego haha,wkwkkw bego haha,"['wkwkkw', 'bego', 'haha']",wkwkkw bego haha
"terimakasih allah, terimakasih abah. skrg ni abah tak pernah pun salahkan mimi dah kalau porch sepah sbb kucing dan monyet, tak marah mimi kalau tak masak sbb abah akan tolong masak perubahan ni sejak kitaorg kena ujian covid raya lepas, abah masak nasi lemak hybrid nasi ayam",Joy,terimakasih allah terimakasih abah skrg ni abah tak pernah pun salahkan mimi dah kalau porch sepah sbb kucing dan monyet tak marah mimi kalau tak masak sbb abah akan tolong masak perubahan ni sejak kitaorg kena ujian covid raya lepas abah masak nasi lemak hybrid nasi ayam,terimakasih allah terimakasih abah sekarang nih abah tak pernah pun salahkan mimi sudah kalau porch sepah sebab kucing dan monyet tak marah mimi kalau tak masak sebab abah akan tolong masak perubahan nih sejak kitaorg kena ujian covid raya lepas abah masak nasi lemak hybrid nasi ayam,"['terimakasih', 'allah', 'terimakasih', 'abah', 'sekarang', 'nih', 'abah', 'tak', 'pernah', 'pun', 'salahkan', 'mimi', 'sudah', 'kalau', 'porch', 'sepah', 'sebab', 'kucing', 'dan', 'monyet', 'tak', 'marah', 'mimi', 'kalau', 'tak', 'masak', 'sebab', 'abah', 'akan', 'tolong', 'masak', 'perubahan', 'nih', 'sejak', 'kitaorg', 'kena', 'ujian', 'covid', 'raya', 'lepas', 'abah', 'masak', 'nasi', 'lemak', 'hybrid', 'nasi', 'ayam']",terimakasih allah terimakasih abah abah salahkan mimi porch sepah kucing monyet marah mimi masak abah tolong masak perubahan kitaorg kena ujian covid raya lepas abah masak nasi lemak hybrid nasi ayam
gue masih senyum2 ga jelas grgr jungwon wonyoung kmrn. lucu bgt gue marah,Joy,gue masih senyum ga jelas grgr jungwon wonyoung kmrn lucu bgt gue marah,gue masih senyum tidak jelas jungwon wonyoung kemarin lucu banget gue marah,"['gue', 'masih', 'senyum', 'tidak', 'jelas', 'jungwon', 'wonyoung', 'kemarin', 'lucu', 'banget', 'gue', 'marah']",gue senyum jungwon wonyoung kemarin lucu banget gue marah
"wkwkw ya gitu nder ldr susah wkwk. dia dari awal nge dm cewe aja sala. lah ini malah marah sama lu, marah balik lah jangan diem doang",Joy,wkwkw ya gitu nder ldr susah wkwk dia dari awal nge dm cewe aja sala lah ini malah marah sama lu marah balik lah jangan diem doang,wkwkw ya begitu nder ldr susah wkwk dia dari awal nge dm cewek saja sala lah ini malah marah sama kamu marah balik lah jangan diam doang,"['wkwkw', 'ya', 'begitu', 'nder', 'ldr', 'susah', 'wkwk', 'dia', 'dari', 'awal', 'nge', 'dm', 'cewek', 'saja', 'sala', 'lah', 'ini', 'malah', 'marah', 'sama', 'kamu', 'marah', 'balik', 'lah', 'jangan', 'diam', 'doang']",wkwkw nder ldr susah nge dm cewek sala marah marah diam doang
lahya? ngapain marah? wkwk,Joy,lahya ngapain marah wkwk,lahya mengapai marah wkwk,"['lahya', 'mengapai', 'marah', 'wkwk']",lahya mengapai marah
wkwkwk bangsat,Joy,wkwkwk bangsat,wkwkwk bangsat,"['wkwkwk', 'bangsat']",wkwkwk bangsat
"gue jugaa dulu gitu nder wkwk tapi nanti seiring berjalan nya waktu reda kok amarah nya, belum bisa berdamai sama keadaan aja mangkanhya bawaan nya marah bgt tapi gapapa wajar kok itu, wajar banget. semangat nder",Joy,gue jugaa dulu gitu nder wkwk tapi nanti seiring berjalan nya waktu reda kok amarah nya belum bisa berdamai sama keadaan aja mangkanhya bawaan nya marah bgt tapi gapapa wajar kok itu wajar banget semangat nder,gue juga dulu begitu nder wkwk tapi nanti seiring berjalan ya waktu reda kok amarah ya belum bisa berdamai sama keadaan saja mangkanhya bawaan ya marah banget tapi gapapa wajar kok itu wajar banget semangat nder,"['gue', 'juga', 'dulu', 'begitu', 'nder', 'wkwk', 'tapi', 'nanti', 'seiring', 'berjalan', 'ya', 'waktu', 'reda', 'kok', 'amarah', 'ya', 'belum', 'bisa', 'berdamai', 'sama', 'keadaan', 'saja', 'mangkanhya', 'bawaan', 'ya', 'marah', 'banget', 'tapi', 'gapapa', 'wajar', 'kok', 'itu', 'wajar', 'banget', 'semangat', 'nder']",gue nder seiring berjalan reda amarah berdamai mangkanhya bawaan marah banget gapapa wajar wajar banget semangat nder
"gua duduk sebelahan sm kak ji, tapi kita chattingan lwt hp. trs dia ketawanya ""awokwok"", gua reflej bales ""aneh banget ketawa lu"", abis itu dia marah ngambek gtu wkwk",Joy,gua duduk sebelahan sm kak ji tapi kita chattingan lwt hp trs dia ketawanya awokwok gua reflej bales aneh banget ketawa lu abis itu dia marah ngambek gtu wkwk,gua duduk sebelahan sama kak ji tapi kita chattingan lewat hp terus dia ketawanya awokwok gua reflej balas aneh banget ketawa kamu habis itu dia marah mengambek begitu wkwk,"['gua', 'duduk', 'sebelahan', 'sama', 'kak', 'ji', 'tapi', 'kita', 'chattingan', 'lewat', 'hp', 'terus', 'dia', 'ketawanya', 'awokwok', 'gua', 'reflej', 'balas', 'aneh', 'banget', 'ketawa', 'kamu', 'habis', 'itu', 'dia', 'marah', 'mengambek', 'begitu', 'wkwk']",gua duduk sebelahan ji chattingan hp ketawanya awokwok gua reflej balas aneh banget ketawa habis marah mengambek
"marah gpp nder wajar itu, asal jgn berlarut"" ya, jgn jg doain jelek ke mereka, karena apa yg kita tanam itu yg kita tuai, jadi tenang aja, yg penting kamu ttp jadi orang yg baik okay? send love, u deserve better and the best partner",Joy,marah gpp nder wajar itu asal jgn berlarut ya jgn jg doain jelek ke mereka karena apa yg kita tanam itu yg kita tuai jadi tenang aja yg penting kamu ttp jadi orang yg baik okay send love u deserve better and the best partner,marah nder wajar itu asal jangan berlarut ya jangan juga doain jelek ke mereka karena apa yang kita tanam itu yang kita tuai jadi tenang saja yang penting kamu tetap jadi orang yang baik okay send love lu deserve better and the best partner,"['marah', 'nder', 'wajar', 'itu', 'asal', 'jangan', 'berlarut', 'ya', 'jangan', 'juga', 'doain', 'jelek', 'ke', 'mereka', 'karena', 'apa', 'yang', 'kita', 'tanam', 'itu', 'yang', 'kita', 'tuai', 'jadi', 'tenang', 'saja', 'yang', 'penting', 'kamu', 'tetap', 'jadi', 'orang', 'yang', 'baik', 'okay', 'send', 'love', 'lu', 'deserve', 'better', 'and', 'the', 'best', 'partner']",marah nder wajar berlarut doain jelek tanam tuai tenang orang okay send love lu deserve better and the best partner
seru ya ternyata nontonin orang bego,Joy,seru ya ternyata nontonin orang bego,seru ya ternyata nontonin orang bego,"['seru', 'ya', 'ternyata', 'nontonin', 'orang', 'bego']",seru nontonin orang bego
coba sampai ep 12 banyak bucin tolol wkwk,Joy,coba sampai ep banyak bucin tolol wkwk,coba sampai ep banyak bucin tolol wkwk,"['coba', 'sampai', 'ep', 'banyak', 'bucin', 'tolol', 'wkwk']",coba ep bucin tolol
"be mine iphone 12, my dream!! shopee jangan ragu untuk pilih aku sebagai pemenang nya ya, aku akan menjaga nya dengan sangat baik.",Joy,be mine iphone my dream shopee jangan ragu untuk pilih aku sebagai pemenang nya ya aku akan menjaga nya dengan sangat baik,be mine iphone my dream shopee jangan ragu untuk pilih aku sebagai pemenang ya ya aku akan menjaga ya dengan sangat baik,"['be', 'mine', 'iphone', 'my', 'dream', 'shopee', 'jangan', 'ragu', 'untuk', 'pilih', 'aku', 'sebagai', 'pemenang', 'ya', 'ya', 'aku', 'akan', 'menjaga', 'ya', 'dengan', 'sangat', 'baik']",be mine iphone my dream shopee ragu pilih pemenang menjaga
"kaget, tapi oke, bintang 5 dari aku.",Joy,kaget tapi oke bintang dari aku,kaget tapi oke bintang dari aku,"['kaget', 'tapi', 'oke', 'bintang', 'dari', 'aku']",kaget oke bintang
you termasuk lagu japan album kn ya? dlu sempet kaget pas denger. kek ga ada abis2nya nemuin lagu bagus di pentagon,Joy,you termasuk lagu japan album kn ya dlu sempet kaget pas denger kek ga ada abisnya nemuin lagu bagus di pentagon,you termasuk lagu japan album kan ya dulu sempat kaget pas dengar kayak tidak ada abisnya menemukan lagu bagus di pentagon,"['you', 'termasuk', 'lagu', 'japan', 'album', 'kan', 'ya', 'dulu', 'sempat', 'kaget', 'pas', 'dengar', 'kayak', 'tidak', 'ada', 'abisnya', 'menemukan', 'lagu', 'bagus', 'di', 'pentagon']",you lagu japan album kaget dengar kayak abisnya menemukan lagu bagus pentagon
"jika kita tidak pernah gagal sebelumnya, kita tidak akan pernah belajar kesalahan kita. jadi, jgn takut salah !",Joy,jika kita tidak pernah gagal sebelumnya kita tidak akan pernah belajar kesalahan kita jadi jgn takut salah,jika kita tidak pernah gagal sebelumnya kita tidak akan pernah belajar kesalahan kita jadi jangan takut salah,"['jika', 'kita', 'tidak', 'pernah', 'gagal', 'sebelumnya', 'kita', 'tidak', 'akan', 'pernah', 'belajar', 'kesalahan', 'kita', 'jadi', 'jangan', 'takut', 'salah']",gagal belajar kesalahan takut salah
"gs astra menjadi pilihan utama oleh hampir seluruh produsen kendaraan bermotor di indonesia (oem quality) jadi, jangan ragu untuk membeli produk di gs astra ya!",Joy,gs astra menjadi pilihan utama oleh hampir seluruh produsen kendaraan bermotor di indonesia oem quality jadi jangan ragu untuk membeli produk di gs astra ya,gs astra menjadi pilihan utama oleh hampir seluruh produsen kendaraan bermotor di indonesia oem quality jadi jangan ragu untuk membeli produk di gs astra ya,"['gs', 'astra', 'menjadi', 'pilihan', 'utama', 'oleh', 'hampir', 'seluruh', 'produsen', 'kendaraan', 'bermotor', 'di', 'indonesia', 'oem', 'quality', 'jadi', 'jangan', 'ragu', 'untuk', 'membeli', 'produk', 'di', 'gs', 'astra', 'ya']",gs astra pilihan utama produsen kendaraan bermotor indonesia oem quality ragu membeli produk gs astra
nyaris bgtt tp bersyukur banget sihh kaget aja liat nilainya wkwk,Joy,nyaris bgtt tp bersyukur banget sihh kaget aja liat nilainya wkwk,nyaris banget tapi bersyukur banget sih kaget saja lihat nilainya wkwk,"['nyaris', 'banget', 'tapi', 'bersyukur', 'banget', 'sih', 'kaget', 'saja', 'lihat', 'nilainya', 'wkwk']",banget bersyukur banget kaget lihat nilainya
kaget ajg tapi seru wkwkwkwkwkwk,Joy,kaget ajg tapi seru wkwkwkwkwkwk,kaget ajg tapi seru wkwkwkwkwkwk,"['kaget', 'ajg', 'tapi', 'seru', 'wkwkwkwkwkwk']",kaget ajg seru wkwkwkwkwkwk
bubar bubar ini anaknya pada senewen lihat draw yang gue kasih langsung kaget kwwkw,Joy,bubar bubar ini anaknya pada senewen lihat draw yang gue kasih langsung kaget kwwkw,bubar bubar ini anaknya pada senewen lihat draw yang gue kasih langsung kaget kwwkw,"['bubar', 'bubar', 'ini', 'anaknya', 'pada', 'senewen', 'lihat', 'draw', 'yang', 'gue', 'kasih', 'langsung', 'kaget', 'kwwkw']",bubar bubar anaknya senewen lihat draw gue kasih langsung kaget kwwkw
alhamdulillah dapat dukungan moril.. setidaknya kedepan tidak takut mencoba lagi..,Joy,alhamdulillah dapat dukungan moril setidaknya kedepan tidak takut mencoba lagi,alhamdulillah dapat dukungan moril setidaknya kedepan tidak takut mencoba lagi,"['alhamdulillah', 'dapat', 'dukungan', 'moril', 'setidaknya', 'kedepan', 'tidak', 'takut', 'mencoba', 'lagi']",alhamdulillah dukungan moril kedepan takut mencoba
"satu bulan belakangan lumayan sibuk banyak kegiatan di luar rumah.. terus beberapa hari yang lalu asam lambung sempet kambuh udah takut banget bakal drop lagi.. tapi ga disangka, puji tuhan hari ini kondisi aku udah jauh lebih baikkan.. thankyou jesus",Joy,satu bulan belakangan lumayan sibuk banyak kegiatan di luar rumah terus beberapa hari yang lalu asam lambung sempet kambuh udah takut banget bakal drop lagi tapi ga disangka puji tuhan hari ini kondisi aku udah jauh lebih baikkan thankyou jesus,satu bulan belakangan lumayan sibuk banyak kegiatan di luar rumah terus beberapa hari yang lalu asam lambung sempat kambuh sudah takut banget bakal drop lagi tapi tidak disangka puji tuhan hari ini kondisi aku sudah jauh lebih baikkan thankyou jesus,"['satu', 'bulan', 'belakangan', 'lumayan', 'sibuk', 'banyak', 'kegiatan', 'di', 'luar', 'rumah', 'terus', 'beberapa', 'hari', 'yang', 'lalu', 'asam', 'lambung', 'sempat', 'kambuh', 'sudah', 'takut', 'banget', 'bakal', 'drop', 'lagi', 'tapi', 'tidak', 'disangka', 'puji', 'tuhan', 'hari', 'ini', 'kondisi', 'aku', 'sudah', 'jauh', 'lebih', 'baikkan', 'thankyou', 'jesus']",lumayan sibuk kegiatan rumah asam lambung kambuh takut banget drop disangka puji tuhan kondisi baikkan thankyou jesus
temenku non kpopers tbtb suka lagu ini wkwk terkejuttt wkwk,Joy,temenku non kpopers tbtb suka lagu ini wkwk terkejuttt wkwk,temenku non kpopers tbtb suka lagu ini wkwk terkejuttt wkwk,"['temenku', 'non', 'kpopers', 'tbtb', 'suka', 'lagu', 'ini', 'wkwk', 'terkejuttt', 'wkwk']",temenku non kpopers tbtb suka lagu terkejuttt
makasih masukannya malu dan senang bercampur aduk,Joy,makasih masukannya malu dan senang bercampur aduk,masukannya malu dan senang bercampur aduk,"['masukannya', 'malu', 'dan', 'senang', 'bercampur', 'aduk']",masukannya malu senang bercampur aduk
"eng! guys aku abis bikin poem bahasa inggris lagi hihi, pada nangkep maksudnya kah? takut ga nyampe meaningnya",Joy,eng guys aku abis bikin poem bahasa inggris lagi hihi pada nangkep maksudnya kah takut ga nyampe meaningnya,eng guys aku habis bikin poem bahasa inggris lagi hihi pada nangkep maksudnya kah takut tidak sampai meaningnya,"['eng', 'guys', 'aku', 'habis', 'bikin', 'poem', 'bahasa', 'inggris', 'lagi', 'hihi', 'pada', 'nangkep', 'maksudnya', 'kah', 'takut', 'tidak', 'sampai', 'meaningnya']",eng guys habis bikin poem bahasa inggris hihi nangkep maksudnya kah takut meaningnya
alhamdulillah ga malu,Joy,alhamdulillah ga malu,alhamdulillah tidak malu,"['alhamdulillah', 'tidak', 'malu']",alhamdulillah malu
"rendah sekolah ku jumlah kuota eligible mipa ada 95, dan aku rank 85 dg rata' segitu sempet takut bgt kegeser krn ada byk murid yg data nilai' nya salah, tapi alhamdulilah ya allah tetep masuk eligible",Joy,rendah sekolah ku jumlah kuota eligible mipa ada dan aku rank dg rata segitu sempet takut bgt kegeser krn ada byk murid yg data nilai nya salah tapi alhamdulilah ya allah tetep masuk eligible,rendah sekolah ku jumlah kuota eligible mipa ada dan aku rank dengan rata segitu sempat takut banget kegeser karena ada banyak murid yang data nilai ya salah tapi alhamdulilah ya allah tetap masuk eligible,"['rendah', 'sekolah', 'ku', 'jumlah', 'kuota', 'eligible', 'mipa', 'ada', 'dan', 'aku', 'rank', 'dengan', 'rata', 'segitu', 'sempat', 'takut', 'banget', 'kegeser', 'karena', 'ada', 'banyak', 'murid', 'yang', 'data', 'nilai', 'ya', 'salah', 'tapi', 'alhamdulilah', 'ya', 'allah', 'tetap', 'masuk', 'eligible']",rendah sekolah kuota eligible mipa rank segitu takut banget kegeser murid data nilai salah alhamdulilah allah masuk eligible
beh kaget tiba tiba makasii min wkwkwk,Joy,beh kaget tiba tiba makasii min wkwkwk,beh kaget tiba tiba makasii min wkwkwk,"['beh', 'kaget', 'tiba', 'tiba', 'makasii', 'min', 'wkwkwk']",beh kaget makasii min wkwkwk
"kaget ngeliat notif, disebut kqkwkw",Joy,kaget ngeliat notif disebut kqkwkw,kaget melihat notif disebut kqkwkw,"['kaget', 'melihat', 'notif', 'disebut', 'kqkwkw']",kaget notif kqkwkw
"dia emang gituu aku juga greget, gemes soft banget di rl tapi kalo liat film/dramanya kaget sekeren ituu",Joy,dia emang gituu aku juga greget gemes soft banget di rl tapi kalo liat filmdramanya kaget sekeren ituu,dia memang begitu aku juga greget gemas soft banget di rl tapi kalau lihat filmdramanya kaget sekeren itu,"['dia', 'memang', 'begitu', 'aku', 'juga', 'greget', 'gemas', 'soft', 'banget', 'di', 'rl', 'tapi', 'kalau', 'lihat', 'filmdramanya', 'kaget', 'sekeren', 'itu']",greget gemas soft banget rl lihat filmdramanya kaget sekeren
panik dia panik udah mau part nya wkwk,Joy,panik dia panik udah mau part nya wkwk,panik dia panik sudah mau part ya wkwk,"['panik', 'dia', 'panik', 'sudah', 'mau', 'part', 'ya', 'wkwk']",panik panik part
ihh takut bgt loch wkwk makasyii,Joy,ihh takut bgt loch wkwk makasyii,ih takut banget loch wkwk makasyii,"['ih', 'takut', 'banget', 'loch', 'wkwk', 'makasyii']",ih takut banget loch makasyii
